epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1478.3,1.75905,1.64901,1.2541,0.54723,0.19512,0.18027,0.09169,1.54003,1.08641,1.10026,0.00333257,0.00333257,0.00333257
2,2849.42,1.54052,1.11862,1.11056,0.33104,0.27146,0.23728,0.121,1.45313,0.97304,1.04238,0.00659991,0.00659991,0.00659991
3,4196.73,1.51431,1.06474,1.07183,0.39083,0.29239,0.27206,0.14251,1.41365,0.92578,1.01436,0.00980125,0.00980125,0.00980125
4,5647.76,1.4894,1.02263,1.0488,0.41972,0.30557,0.30714,0.1627,1.38809,0.87699,0.99365,0.009703,0.009703,0.009703
5,7086.46,1.45497,0.97442,1.03336,0.43266,0.32289,0.32609,0.17471,1.36425,0.84547,0.98491,0.009604,0.009604,0.009604
6,8526.11,1.43623,0.95139,1.02461,0.44104,0.34079,0.34082,0.18386,1.35044,0.82711,0.97837,0.009505,0.009505,0.009505
7,9867.28,1.42122,0.93287,1.01718,0.45045,0.34702,0.35231,0.1905,1.34177,0.81178,0.97433,0.009406,0.009406,0.009406
8,11203.3,1.41328,0.92048,1.01393,0.58388,0.34648,0.3607,0.19537,1.33474,0.80186,0.97101,0.009307,0.009307,0.009307
9,12531.7,1.40359,0.91008,1.01058,0.59036,0.34903,0.36751,0.19922,1.3286,0.79357,0.96954,0.009208,0.009208,0.009208
10,13877.7,1.39821,0.90327,1.00742,0.58366,0.35596,0.3699,0.20141,1.3241,0.78771,0.96782,0.009109,0.009109,0.009109
11,15213.2,1.3934,0.89474,1.00532,0.59402,0.35334,0.3734,0.20363,1.32144,0.78324,0.96594,0.00901,0.00901,0.00901
12,16477.9,1.38583,0.88796,1.00257,0.59572,0.35628,0.37721,0.20579,1.31841,0.77965,0.96454,0.008911,0.008911,0.008911
13,17696,1.3849,0.88601,1.00197,0.59516,0.36081,0.38032,0.20742,1.31601,0.77755,0.96335,0.008812,0.008812,0.008812
14,18888.1,1.38085,0.88201,0.99972,0.59919,0.36208,0.38209,0.20897,1.31394,0.77536,0.96251,0.008713,0.008713,0.008713
15,20074.5,1.37539,0.87708,0.99847,0.60279,0.36457,0.38424,0.21004,1.31242,0.77363,0.96193,0.008614,0.008614,0.008614
16,21256.9,1.37414,0.87343,0.99773,0.60966,0.36181,0.38586,0.21138,1.3114,0.77227,0.96138,0.008515,0.008515,0.008515
17,22444.3,1.37242,0.87295,0.99593,0.60909,0.36641,0.38735,0.2124,1.3103,0.77102,0.96086,0.008416,0.008416,0.008416
18,23633.2,1.37015,0.87019,0.9957,0.61227,0.36556,0.38849,0.21299,1.30935,0.76981,0.96034,0.008317,0.008317,0.008317
19,24821.6,1.36558,0.86508,0.99434,0.61202,0.3683,0.39031,0.21401,1.30801,0.76872,0.95984,0.008218,0.008218,0.008218
20,26008.2,1.3639,0.86244,0.99313,0.60956,0.37021,0.39192,0.21492,1.30709,0.76777,0.95936,0.008119,0.008119,0.008119
21,27195.6,1.36324,0.86156,0.9931,0.61265,0.36976,0.39368,0.21585,1.30611,0.76683,0.95893,0.00802,0.00802,0.00802
22,28380.9,1.36046,0.85801,0.99078,0.61663,0.36921,0.395,0.21691,1.30512,0.76579,0.95848,0.007921,0.007921,0.007921
23,29565.6,1.36039,0.85699,0.99091,0.61885,0.37141,0.39689,0.21781,1.30411,0.76483,0.95807,0.007822,0.007822,0.007822
24,30748.1,1.35783,0.85548,0.99029,0.61933,0.37119,0.39789,0.21867,1.30327,0.76389,0.9576,0.007723,0.007723,0.007723
25,31926.3,1.35548,0.85271,0.98817,0.6216,0.37273,0.39877,0.21949,1.30237,0.76287,0.95715,0.007624,0.007624,0.007624
26,33103.7,1.35491,0.85169,0.98936,0.62395,0.37473,0.40004,0.22009,1.30171,0.76169,0.95679,0.007525,0.007525,0.007525
27,34281.5,1.35185,0.85013,0.98769,0.6246,0.37623,0.40132,0.22099,1.30099,0.76067,0.95639,0.007426,0.007426,0.007426
28,35460.4,1.35236,0.84873,0.98774,0.62391,0.37949,0.40308,0.22223,1.30023,0.75975,0.95602,0.007327,0.007327,0.007327
29,36690,1.35117,0.84814,0.98713,0.62723,0.37842,0.40419,0.22311,1.29962,0.75882,0.95565,0.007228,0.007228,0.007228
30,37940,1.34893,0.84488,0.98651,0.62997,0.38006,0.40586,0.22383,1.29884,0.75776,0.95525,0.007129,0.007129,0.007129
31,39173.2,1.34899,0.84418,0.98598,0.63328,0.37917,0.40656,0.22446,1.29815,0.75689,0.95486,0.00703,0.00703,0.00703
32,40436.9,1.34546,0.84114,0.98504,0.63579,0.37827,0.40722,0.22513,1.29735,0.75573,0.95443,0.006931,0.006931,0.006931
